기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,A,골목상권,3110080,해방촌예술마을,1652684,771590,881095,213336,251432,311865,269593,225733,380725,468454,334454,171984,173949,268850,234993,229250,229950,227464,230084,232603,247520,255813
20241,A,골목상권,3110081,해방촌 남동측,1527600,705447,822154,175803,253812,316591,263994,175970,341432,431526,324025,172183,168434,236109,195325,209627,214618,210568,215498,215738,228029,233522
20241,A,골목상권,3110082,용산구청,374629,188589,186041,24161,92157,94703,61243,45175,57191,79550,62444,51236,54721,78121,48557,49298,46782,49520,49071,55256,65533,59172
20241,A,골목상권,3110083,서빙고역 1번,98991,49201,49790,12118,11672,16829,19053,17721,21599,24876,22940,12367,12070,14165,12573,14114,14486,14764,14484,14045,13283,13817
20241,A,골목상권,3110084,경리단길북측,1022188,476252,545936,105945,153190,233745,209182,125333,194793,283883,214188,115156,114951,160500,133510,143869,141844,141431,140969,142479,155232,156364
20241,A,골목상권,3110085,경리단길남측,1296116,610062,686053,141159,206640,301048,268679,164490,214100,331162,270561,162602,161489,212977,157327,180877,182410,180883,184754,186273,191631,189288
20241,A,골목상권,3110086,이태원역 북측,406550,204948,201601,33228,89931,99596,76465,47845,59485,103135,74965,49540,51943,72201,54765,54610,53155,53925,55123,59781,67016,62941
20241,A,골목상권,3110087,이태원엔틱가구거리,207340,108729,98611,14990,40779,49511,35478,27847,38735,52133,40947,26465,26009,35399,26388,28429,27943,28328,28437,29948,32623,31632
20241,A,골목상권,3110088,오산고등학교,373603,185066,188537,72615,48330,53251,77643,58870,62896,112701,80395,40500,38346,53517,48148,52948,53487,52258,53279,52472,54231,54928
20241,A,골목상권,3110089,서빙고동주민센터,481525,241627,239898,61816,59575,80153,90520,82302,107161,137367,107290,56230,54732,67172,58733,68377,69160,67914,69066,68438,69665,68908
20241,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,700319,351829,348489,92014,96619,115802,136207,114141,145534,186568,149206,83442,81551,109452,90100,101337,100440,99555,100583,98940,99035,100427
20241,A,골목상권,3110091,리움미술관,221017,102748,118269,16065,57273,56117,42058,26265,23239,23154,39491,42619,48195,49657,17901,28373,30515,33422,31501,33626,33711,29869
20241,A,골목상권,3110092,NH농협은행 보광동지점,638320,319244,319077,48925,90951,111746,114069,103886,168744,185513,135234,68562,66902,96986,85122,92291,90415,89805,90237,89300,91306,94966
20241,A,골목상권,3110093,우사단길,2158435,1098370,1060065,159162,355930,520460,448148,297233,377503,563464,456498,270508,263787,338300,265876,306010,304615,304393,304937,307848,312227,318406
20241,A,골목상권,3110094,오산중학교,57695,30119,27576,7519,5807,10485,11483,10355,12046,11552,12122,8258,9186,10743,5836,8018,7948,8061,8084,8278,8975,8329
