기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,A,골목상권,3110430,중계초등학교,202,111,91,0,19,42,48,54,39,0,7,20,25,29,30,0,12,22,23,25,9
20241,A,골목상권,3110431,상계역,574,314,260,0,56,117,135,152,114,0,20,56,71,81,86,0,36,61,64,71,28
20241,A,골목상권,3110432,대진고등학교,327,205,122,0,38,69,81,95,44,0,17,40,47,66,35,0,21,29,34,29,9
20241,A,골목상권,3110433,공릉역 2번,1608,870,738,0,171,243,353,444,397,0,77,132,175,232,254,0,94,111,178,212,143
20241,A,골목상권,3110434,태릉입구역 4번,681,369,312,0,71,105,148,189,168,0,33,56,74,99,107,0,38,49,74,90,61
20241,A,골목상권,3110435,서울과학기술대,206,96,110,0,34,52,50,48,22,0,10,24,24,24,14,0,24,28,26,24,8
20241,A,골목상권,3110436,상계제일중학교,247,140,107,0,21,51,58,68,49,0,8,25,31,37,39,0,13,26,27,31,10
20241,A,골목상권,3110437,당고개역 2번,210,155,55,0,4,10,57,90,49,0,0,5,36,69,45,0,4,5,21,21,4
20241,A,골목상권,3110438,경춘선숲길 우측,1346,622,724,0,224,339,329,316,138,0,68,154,154,156,90,0,156,185,175,160,48
20241,A,골목상권,3110439,당고개역 5번,113,88,25,0,1,2,33,51,26,0,0,1,22,40,25,0,1,1,11,11,1
20241,A,골목상권,3110440,상계3동4동주민센터,96,73,23,0,2,6,25,38,25,0,0,3,17,30,23,0,2,3,8,8,2
20241,A,골목상권,3110441,영신여고,120,57,63,0,11,24,31,38,16,0,5,12,14,16,10,0,6,12,17,22,6
20241,A,골목상권,3110442,화랑대철도공원,510,235,275,0,84,128,125,119,54,0,25,58,58,59,35,0,59,70,67,60,19
20241,A,골목상권,3110443,수색역 1번,32,21,11,0,4,9,8,6,5,0,2,6,5,4,4,0,2,3,3,2,1
20241,A,골목상권,3110444,수색성당,311,199,112,0,40,83,84,72,32,0,18,54,55,47,25,0,22,29,29,25,7
20241,A,골목상권,3110445,덕산중학교,40,23,17,0,1,8,10,13,8,0,0,4,6,6,7,0,1,4,4,7,1
20241,A,골목상권,3110446,내를건너서숲으로도서관,231,168,63,0,21,47,61,60,42,0,19,32,35,41,41,0,2,15,26,19,1
20241,A,골목상권,3110447,구산초등학교,45,23,22,0,3,6,11,19,6,0,1,2,4,12,4,0,2,4,7,7,2
20241,A,골목상권,3110448,상신초등학교입구,81,60,21,0,7,16,23,21,14,0,6,12,13,15,14,0,1,4,10,6,0
20241,A,골목상권,3110449,증산역 3번,878,572,306,0,113,236,239,204,86,0,51,156,157,138,70,0,62,80,82,66,16
20241,A,골목상권,3110450,시립서북병원,692,344,348,0,100,138,175,180,99,0,34,62,84,95,69,0,66,76,91,85,30
20241,A,골목상권,3110451,증산역 4번,487,325,162,0,61,133,137,112,44,0,28,90,91,77,39,0,33,43,46,35,5
20241,A,골목상권,3110452,새절역 3번,531,384,147,0,56,112,142,133,88,0,43,79,85,91,86,0,13,33,57,42,2
20241,A,골목상권,3110453,신사1동주민센터,701,375,326,0,63,150,165,180,143,0,22,73,92,86,102,0,41,77,73,94,41
20241,A,골목상권,3110454,선정중학교,176,91,85,0,14,36,46,50,30,0,6,20,22,22,21,0,8,16,24,28,9
20241,A,골목상권,3110455,역촌노인복지관,420,204,216,0,64,84,111,99,62,0,21,38,54,47,44,0,43,46,57,52,18
20241,A,골목상권,3110456,구산보건지소,543,280,263,0,72,103,130,157,81,0,28,47,60,92,53,0,44,56,70,65,28
20241,A,골목상권,3110457,예일여고,373,202,171,0,42,69,82,124,56,0,17,31,39,78,37,0,25,38,43,46,19
20241,A,골목상권,3110458,선일여고,316,158,158,0,31,67,86,83,49,0,11,35,41,39,32,0,20,32,45,44,17
20241,A,골목상권,3110459,응암역 2번,475,229,246,0,71,97,125,112,70,0,24,44,60,53,48,0,47,53,65,59,22
20241,A,골목상권,3110460,구산역 4번,742,385,357,0,68,147,201,202,124,0,31,84,97,88,85,0,37,63,104,114,39
20241,A,골목상권,3110461,새절역 2번,58,28,30,0,4,14,18,15,7,0,1,7,9,6,5,0,3,7,9,9,2
20241,A,골목상권,3110462,갈현건영아파트,236,119,117,0,37,56,58,54,31,0,13,29,29,27,21,0,24,27,29,27,10
20241,A,골목상권,3110463,응암3동주민센터,113,53,60,0,8,26,38,30,11,0,1,13,18,12,9,0,7,13,20,18,2
20241,A,골목상권,3110464,연신내역 5번,447,228,219,0,41,86,123,123,74,0,19,49,56,53,51,0,22,37,67,70,23
20241,A,골목상권,3110465,연신내역 7번,279,141,138,0,41,65,71,68,34,0,14,34,35,33,25,0,27,31,36,35,9
20241,A,골목상권,3110466,구산역 2번,208,98,110,0,35,40,56,51,26,0,13,16,27,24,18,0,22,24,29,27,8
20241,A,골목상권,3110467,은평요양병원,265,132,133,0,47,62,62,62,32,0,16,31,31,31,23,0,31,31,31,31,9
20241,A,골목상권,3110468,응암역 3번,1036,497,539,0,169,210,270,240,147,0,58,94,129,114,102,0,111,116,141,126,45
20241,A,골목상권,3110469,응암정보도서관,425,207,218,0,22,110,132,112,49,0,1,55,59,53,39,0,21,55,73,59,10
20241,A,골목상권,3110470,신진과학기술고등학교,102,56,46,0,7,17,27,26,25,0,2,8,14,13,19,0,5,9,13,13,6
20241,A,골목상권,3110471,응암동우체국,369,236,133,0,36,47,99,110,77,0,19,26,56,64,71,0,17,21,43,46,6
20241,A,골목상권,3110472,연신내역 4번,204,97,107,0,16,45,61,51,31,0,1,22,30,21,23,0,15,23,31,30,8
20241,A,골목상권,3110473,구산역 1번,219,110,109,0,19,50,62,55,33,0,3,25,30,25,27,0,16,25,32,30,6
20241,A,골목상권,3110474,세명컴퓨터고등학교,1577,753,824,0,61,225,271,345,675,0,13,114,111,141,374,0,48,111,160,204,301
20241,A,골목상권,3110475,백련산해모로아파트,155,94,61,0,16,24,38,39,38,0,8,12,22,22,30,0,8,12,16,17,8
20241,A,골목상권,3110476,역촌역 2번,35,16,19,0,2,6,13,8,6,0,0,3,5,3,5,0,2,3,8,5,1
20241,A,골목상권,3110477,은평세무서,556,300,256,0,60,111,144,141,100,0,26,53,70,79,72,0,34,58,74,62,28
20241,A,골목상권,3110478,응암1동주민센터,220,122,98,0,21,36,51,50,62,0,8,18,26,25,45,0,13,18,25,25,17
20241,A,골목상권,3110479,연신내역 2번,2574,1233,1341,0,104,368,438,569,1095,0,25,188,180,234,606,0,79,180,258,335,489
20241,A,골목상권,3110480,연신내역 3번,252,107,145,0,36,59,70,58,29,0,13,25,29,25,15,0,23,34,41,33,14
20241,A,골목상권,3110481,불광역 7번,291,147,144,0,29,68,80,71,43,0,8,34,38,33,34,0,21,34,42,38,9
20241,A,골목상권,3110482,연신초등학교,652,311,341,0,26,93,112,144,277,0,6,48,45,59,153,0,20,45,67,85,124
20241,A,골목상권,3110483,연천초등학교,70,28,42,0,8,18,21,17,6,0,2,7,9,7,3,0,6,11,12,10,3
20241,A,골목상권,3110484,역촌역 3번,220,115,105,0,19,55,64,61,21,0,9,26,30,36,14,0,10,29,34,25,7
20241,A,골목상권,3110485,연신내우체국,1174,560,614,0,48,167,200,261,498,0,11,84,83,107,275,0,37,83,117,154,223
20241,A,골목상권,3110486,은평구청,1007,538,469,0,113,234,276,271,113,0,54,113,132,163,76,0,59,121,144,108,37
20241,A,골목상권,3110487,불광역 8번,379,163,216,0,51,92,104,88,44,0,18,40,45,38,22,0,33,52,59,50,22
20241,A,골목상권,3110488,우리은행응암동지점,227,127,100,0,21,41,53,51,61,0,9,20,28,26,44,0,12,21,25,25,17
20241,A,골목상권,3110489,불광역 3번,50,28,22,0,6,10,15,15,4,0,3,5,6,10,4,0,3,5,9,5,0
20241,A,골목상권,3110490,녹번동근린공원,221,118,103,0,23,53,63,59,23,0,11,25,30,36,16,0,12,28,33,23,7
20241,A,골목상권,3110491,불광중학교,383,182,201,0,14,57,67,85,160,0,2,30,27,35,88,0,12,27,40,50,72
20241,A,골목상권,3110492,하나고등학교,79,41,38,0,7,19,22,19,12,0,3,12,12,8,6,0,4,7,10,11,6
20241,A,골목상권,3110493,북가좌초등학교,136,116,20,0,0,3,13,30,90,0,0,1,6,22,87,0,0,2,7,8,3
20241,A,골목상권,3110494,증산3교남측,29,27,2,0,0,0,2,7,20,0,0,0,1,6,20,0,0,0,1,1,0
20241,A,골목상권,3110495,북가좌2동주민센터,557,283,274,0,74,110,129,147,97,0,13,56,75,78,61,0,61,54,54,69,36
20241,A,골목상권,3110496,모래내우체국,516,261,255,0,69,103,119,135,90,0,12,52,68,72,57,0,57,51,51,63,33
20241,A,골목상권,3110497,가좌역 3번,452,305,147,0,22,43,69,108,210,0,14,27,40,63,161,0,8,16,29,45,49
20241,A,골목상권,3110498,증산역 1번,152,75,77,0,14,35,43,38,22,0,2,18,22,18,15,0,12,17,21,20,7
20241,A,골목상권,3110499,연가초등학교,96,49,47,0,10,16,24,29,17,0,0,8,15,16,10,0,10,8,9,13,7
20241,A,골목상권,3110500,남가좌동현대아파트,60,32,28,0,5,12,16,17,10,0,1,6,8,9,8,0,4,6,8,8,2
20241,A,골목상권,3110501,연희어린이공원,1039,691,348,0,165,257,223,293,101,0,92,174,140,212,73,0,73,83,83,81,28
20241,A,골목상권,3110502,남가좌파출소,397,204,193,0,33,80,119,122,43,0,5,38,56,68,37,0,28,42,63,54,6
20241,A,골목상권,3110503,명지대학교교회,1400,892,508,0,213,377,353,314,143,0,118,241,220,205,108,0,95,136,133,109,35
20241,A,골목상권,3110504,명지전문대,42,27,15,0,7,11,11,9,4,0,4,7,7,6,3,0,3,4,4,3,1
20241,A,골목상권,3110505,홍남교남측,214,141,73,0,33,54,46,60,21,0,18,36,29,43,15,0,15,18,17,17,6
20241,A,골목상권,3110506,연희임광아파트,591,390,201,0,92,149,128,165,57,0,52,99,80,119,40,0,40,50,48,46,17
20241,A,골목상권,3110507,명지대학교,645,376,269,0,78,161,177,165,64,0,32,92,98,98,56,0,46,69,79,67,8
20241,A,골목상권,3110508,서연중학교,1241,834,407,0,199,311,266,348,117,0,112,214,170,253,85,0,87,97,96,95,32
20241,A,골목상권,3110509,연희대우아파트앞,538,334,204,0,86,139,123,140,50,0,43,82,72,99,38,0,43,57,51,41,12
20241,A,골목상권,3110510,홍연시장,933,621,312,0,147,233,201,262,90,0,82,158,127,189,65,0,65,75,74,73,25
20241,A,골목상권,3110511,연희초등학교,1781,1184,597,0,279,447,386,502,167,0,158,300,243,362,121,0,121,147,143,140,46
20241,A,골목상권,3110512,연희지하차도,1817,1205,612,0,287,452,392,510,176,0,160,305,247,366,127,0,127,147,145,144,49
20241,A,골목상권,3110513,연희파출소,2183,1444,739,0,346,545,471,612,209,0,193,365,296,440,150,0,153,180,175,172,59
20241,A,골목상권,3110514,서대문우체국,31,17,14,0,3,10,8,8,2,0,1,4,4,6,2,0,2,6,4,2,0
20241,A,골목상권,3110515,홍은중학교,177,114,63,0,28,46,44,40,19,0,17,29,27,26,15,0,11,17,17,14,4
20241,A,골목상권,3110516,정원여중,102,66,36,0,16,27,25,23,11,0,10,17,16,14,9,0,6,10,9,9,2
20241,A,골목상권,3110517,서대문소방서,1734,1149,585,0,275,432,375,485,167,0,153,290,235,350,121,0,122,142,140,135,46
20241,A,골목상권,3110518,서대문구청,2989,1980,1009,0,473,747,644,837,288,0,264,502,404,603,207,0,209,245,240,234,81
20241,A,골목상권,3110519,서대문구보건소별관,1329,676,653,0,145,202,335,458,189,0,39,90,174,253,120,0,106,112,161,205,69
20241,A,골목상권,3110520,경의중앙 신촌역,35,19,16,0,5,10,9,9,2,0,2,3,5,7,2,0,3,7,4,2,0
20241,A,골목상권,3110521,홍제역 4번,298,152,146,0,31,46,75,101,45,0,8,20,39,56,29,0,23,26,36,45,16
20241,A,골목상권,3110522,홍제역 3번,822,419,403,0,88,124,211,284,115,0,24,56,109,157,73,0,64,68,102,127,42
20241,A,골목상권,3110523,홍제성원아파트,37,19,18,0,4,6,10,13,4,0,1,3,5,7,3,0,3,3,5,6,1
20241,A,골목상권,3110524,연희세브란스병원,55,29,26,0,10,16,14,11,4,0,4,7,7,7,4,0,6,9,7,4,0
20241,A,골목상권,3110525,홍은종합사회복지관,641,126,515,0,19,47,176,307,92,0,7,15,33,37,34,0,12,32,143,270,58
20241,A,골목상권,3110526,봉원사,11,5,6,0,2,4,2,2,1,0,1,1,1,1,1,0,1,3,1,1,0
20241,A,골목상권,3110527,홍제역 2번,132,65,67,0,15,22,32,35,28,0,4,13,15,17,16,0,11,9,17,18,12
20241,A,골목상권,3110528,서울여자간호대학교,137,68,69,0,7,13,28,39,50,0,0,5,12,21,30,0,7,8,16,18,20
20241,A,골목상권,3110529,홍제3동주민센터,169,81,88,0,7,14,33,50,65,0,0,4,12,27,38,0,7,10,21,23,27
20241,A,골목상권,3110530,아현역 1번,141,99,42,0,16,33,39,40,13,0,6,23,29,30,11,0,10,10,10,10,2
20241,A,골목상권,3110531,홍지문,349,81,268,0,15,32,97,157,48,0,5,13,22,22,19,0,10,19,75,135,29
20241,A,골목상권,3110532,아현역 2번,401,294,107,0,41,93,110,115,42,0,17,70,86,88,33,0,24,23,24,27,9
20241,A,골목상권,3110533,충정로역 7번,77,57,20,0,7,20,22,20,8,0,3,15,17,16,6,0,4,5,5,4,2
20241,A,골목상권,3110534,경기대학교,137,86,51,0,16,35,37,34,15,0,7,21,24,22,12,0,9,14,13,12,3
20241,A,골목상권,3110535,영천시장입구,139,76,63,0,9,21,37,53,19,0,2,9,22,31,12,0,7,12,15,22,7
20241,A,골목상권,3110536,돈의문센트레빌아파트입구,180,103,77,0,19,37,47,54,23,0,7,20,28,33,15,0,12,17,19,21,8
20241,A,골목상권,3110537,충정로현대아파트,1091,680,411,0,135,280,290,259,127,0,63,170,185,171,91,0,72,110,105,88,36
20241,A,골목상권,3110538,충정로역 3번,319,198,121,0,40,82,84,76,37,0,19,50,53,50,26,0,21,32,31,26,11
20241,A,골목상권,3110539,미근동,1534,956,578,0,189,394,407,366,178,0,89,239,259,241,128,0,100,155,148,125,50
20241,A,골목상권,3110540,망원나들목체육관,80,47,33,0,22,24,18,12,4,0,13,13,9,8,4,0,9,11,9,4,0
20241,A,골목상권,3110541,동교초등학교,801,482,319,0,103,147,171,244,136,0,58,110,122,114,78,0,45,37,49,130,58
20241,A,골목상권,3110542,마포구청역 7번,1398,841,557,0,175,259,302,425,237,0,98,193,213,198,139,0,77,66,89,227,98
20241,A,골목상권,3110543,중암중학교,5,2,3,0,0,1,2,2,0,0,0,0,1,1,0,0,0,1,1,1,0
20241,A,골목상권,3110544,망리단길,1410,794,616,0,398,400,296,209,107,0,227,214,144,125,84,0,171,186,152,84,23
20241,A,골목상권,3110545,마포구청역 1번,998,448,550,0,80,192,271,320,135,0,25,95,123,125,80,0,55,97,148,195,55
20241,A,골목상권,3110546,양화대교북단,355,201,154,0,56,105,96,65,33,0,21,51,61,44,24,0,35,54,35,21,9
20241,A,골목상권,3110547,KB국민은행 망원동지점,736,445,291,0,90,139,158,224,125,0,50,103,112,105,75,0,40,36,46,119,50
20241,A,골목상권,3110548,마포구청역 4번,951,635,316,0,119,199,218,188,227,0,59,124,140,131,181,0,60,75,78,57,46
20241,A,골목상권,3110549,새터산,93,40,53,0,5,14,30,34,10,0,1,7,13,13,6,0,4,7,17,21,4
20241,A,골목상권,3110550,합정역 8번,1259,706,553,0,205,371,338,228,117,0,76,182,211,153,84,0,129,189,127,75,33
20241,A,골목상권,3110551,성서초등학교,486,318,168,0,62,103,113,96,112,0,31,62,71,66,88,0,31,41,42,30,24
20241,A,골목상권,3110552,성미산체육관,1000,665,335,0,126,208,230,196,240,0,63,130,146,136,190,0,63,78,84,60,50
20241,A,골목상권,3110553,가좌역 2번,272,122,150,0,18,52,78,90,34,0,5,26,34,36,21,0,13,26,44,54,13
20241,A,골목상권,3110554,망원역 1번,1139,584,555,0,237,320,265,187,130,0,97,160,147,99,81,0,140,160,118,88,49
20241,A,골목상권,3110555,홍익지구대,341,175,166,0,73,94,79,57,38,0,30,47,44,30,24,0,43,47,35,27,14
20241,A,골목상권,3110556,절두산순교성지,170,96,74,0,27,52,47,30,14,0,9,26,30,21,10,0,18,26,17,9,4
20241,A,골목상권,3110557,홍대부속여중고앞,898,522,376,0,151,224,206,164,153,0,67,123,122,100,110,0,84,101,84,64,43
20241,A,골목상권,3110558,경성고등학교,1872,1241,631,0,235,400,437,370,430,0,116,246,275,261,343,0,119,154,162,109,87
20241,A,골목상권,3110559,성산중학교,841,472,369,0,141,247,227,153,73,0,52,121,141,102,56,0,89,126,86,51,17
20241,A,골목상권,3110560,마포FM,513,334,179,0,70,114,122,102,105,0,32,67,76,71,88,0,38,47,46,31,17
20241,A,골목상권,3110561,상수역 4번,372,239,133,0,61,94,89,75,53,0,30,57,60,51,41,0,31,37,29,24,12
20241,A,골목상권,3110562,연트럴파크(연남동주민센터),309,199,110,0,49,73,78,70,39,0,22,39,49,50,39,0,27,34,29,20,0
20241,A,골목상권,3110563,상수역 3번,275,173,102,0,47,67,65,54,42,0,23,40,44,35,31,0,24,27,21,19,11
20241,A,골목상권,3110564,홍대입구역 3번,543,279,264,0,115,152,126,89,61,0,47,76,70,47,39,0,68,76,56,42,22
20241,A,골목상권,3110565,홍익대,241,152,89,0,41,58,59,48,35,0,20,35,39,32,26,0,21,23,20,16,9
20241,A,골목상권,3110566,경의선책거리,1341,687,654,0,281,378,309,225,148,0,117,189,170,119,92,0,164,189,139,106,56
20241,A,골목상권,3110567,광흥창역 6번,286,180,106,0,52,69,66,57,42,0,25,41,44,38,32,0,27,28,22,19,10
20241,A,골목상권,3110568,광흥창역 1번,158,100,58,0,26,40,38,30,24,0,12,24,26,21,17,0,14,16,12,9,7
20241,A,골목상권,3110569,홍대땡땡거리,736,411,325,0,144,196,175,128,93,0,60,106,106,76,63,0,84,90,69,52,30
20241,A,골목상권,3110570,KB국민은행 서강지점,219,125,94,0,26,62,62,53,16,0,10,29,36,37,13,0,16,33,26,16,3
20241,A,골목상권,3110571,신수동주민센터,1194,679,515,0,145,332,335,294,88,0,54,157,191,206,71,0,91,175,144,88,17
20241,A,골목상권,3110572,서강대역 1번,1052,573,479,0,229,278,248,220,77,0,87,134,141,148,63,0,142,144,107,72,14
20241,A,골목상권,3110573,신촌역 6번,104,51,53,0,44,24,15,13,8,0,17,13,8,8,5,0,27,11,7,5,3
20241,A,골목상권,3110574,서강대학교,187,92,95,0,77,42,26,26,16,0,30,22,14,15,11,0,47,20,12,11,5
20241,A,골목상권,3110575,대흥동주민센터,331,162,169,0,142,76,46,45,22,0,53,39,25,29,16,0,89,37,21,16,6
20241,A,골목상권,3110576,대흥역 3번,1146,674,472,3,331,258,204,210,140,1,142,156,139,139,97,2,189,102,65,71,43
20241,A,골목상권,3110577,용강동주민센터,699,416,283,0,101,172,165,139,122,0,50,102,109,81,74,0,51,70,56,58,48
20241,A,골목상권,3110578,대흥역 2번,1265,800,465,3,302,287,244,256,173,1,139,185,176,177,122,2,163,102,68,79,51
20241,A,골목상권,3110579,마포역 4번,1163,709,454,0,215,286,292,258,112,0,111,196,193,136,73,0,104,90,99,122,39
20241,A,골목상권,3110580,양원초등학교,152,74,78,0,67,32,21,21,11,0,26,16,11,12,9,0,41,16,10,9,2
20241,A,골목상권,3110581,염리초등학교,246,146,100,0,36,61,58,48,43,0,18,36,38,28,26,0,18,25,20,20,17
20241,A,골목상권,3110582,이대역 5번,282,163,119,0,95,67,46,47,27,0,39,39,32,33,20,0,56,28,14,14,7
20241,A,골목상권,3110583,공덕래미안3차아파트,362,200,162,0,70,119,103,62,8,0,31,67,58,37,7,0,39,52,45,25,1
20241,A,골목상권,3110584,아현역 4번,182,100,82,0,34,60,52,32,4,0,15,33,29,19,4,0,19,27,23,13,0
20241,A,골목상권,3110585,마포경찰서,235,129,106,0,46,76,67,40,6,0,20,43,37,24,5,0,26,33,30,16,1
20241,A,골목상권,3110586,서울서부지방법원,3762,2181,1581,1,835,1043,1029,664,190,0,328,553,659,499,142,1,507,490,370,165,48
20241,A,골목상권,3110587,공덕동주민센터,909,530,379,0,204,252,248,157,48,0,82,134,159,119,36,0,122,118,89,38,12
20241,A,골목상권,3110588,한겨레신문사,660,384,276,0,148,183,186,112,31,0,60,98,117,86,23,0,88,85,69,26,8
20241,A,골목상권,3110589,애오개역 3번,115,68,47,0,26,32,33,19,5,0,10,18,21,15,4,0,16,14,12,4,1
20241,A,골목상권,3110590,만리재,300,174,126,0,65,86,79,54,16,0,24,46,50,41,13,0,41,40,29,13,3
20241,A,골목상권,3110591,충정로역 6번,166,95,71,0,37,51,42,28,8,0,16,28,25,19,7,0,21,23,17,9,1
20241,A,골목상권,3110592,서울금융고등학교,292,170,122,0,26,55,67,91,53,0,8,23,35,58,46,0,18,32,32,33,7
20241,A,골목상권,3110593,신월3동주민센터,344,203,141,0,25,62,82,112,63,0,7,23,43,72,58,0,18,39,39,40,5
20241,A,골목상권,3110594,신월중학교,187,107,80,0,21,46,50,50,20,0,9,23,27,31,17,0,12,23,23,19,3
20241,A,골목상권,3110595,메디힐병원,964,543,421,0,105,256,252,250,101,0,49,128,131,148,87,0,56,128,121,102,14
20241,A,골목상권,3110596,서서울호수공원,180,106,74,0,14,34,40,58,34,0,4,14,20,38,30,0,10,20,20,20,4
20241,A,골목상권,3110597,신월1동주민센터,447,294,153,0,33,78,106,153,77,0,19,48,62,104,61,0,14,30,44,49,16
20241,A,골목상권,3110598,신월문화체육센터,636,420,216,0,69,105,129,153,180,0,51,81,88,92,108,0,18,24,41,61,72
20241,A,골목상권,3110599,신월1파출소,299,203,96,0,23,49,70,105,52,0,13,33,43,72,42,0,10,16,27,33,10
20241,A,골목상권,3110600,신월7동주민센터,671,442,229,0,71,111,138,160,191,0,55,83,92,97,115,0,16,28,46,63,76
20241,A,골목상권,3110601,신월1동우편취급국,614,402,212,0,48,105,146,210,105,0,26,64,87,142,83,0,22,41,59,68,22
20241,A,골목상권,3110602,신월시영아파트중문,811,528,283,0,88,135,166,193,229,0,65,102,109,116,136,0,23,33,57,77,93
20241,A,골목상권,3110603,지향초등학교,597,421,176,0,50,115,148,131,153,0,24,70,99,89,139,0,26,45,49,42,14
20241,A,골목상권,3110604,신월4동주민센터,467,320,147,0,17,56,112,156,126,0,7,31,64,106,112,0,10,25,48,50,14
20241,A,골목상권,3110605,목동센트럴아이파크앞,192,114,78,0,19,37,44,52,40,0,7,20,24,30,33,0,12,17,20,22,7
20241,A,골목상권,3110606,신한은행 신월동지점,390,266,124,0,11,46,92,133,108,0,3,25,51,91,96,0,8,21,41,42,12
20241,A,골목상권,3110607,금빛새마을금고본점,175,102,73,0,15,31,44,48,37,0,8,17,23,26,28,0,7,14,21,22,9
20241,A,골목상권,3110608,신월2동주민센터,440,257,183,0,33,72,117,125,93,0,19,44,59,67,68,0,14,28,58,58,25
20241,A,골목상권,3110609,신정네거리역 2번,90,65,25,0,6,17,24,18,25,0,2,10,16,13,24,0,4,7,8,5,1
20241,A,골목상권,3110610,계남근린공원,110,82,28,0,7,22,28,24,29,0,3,14,19,18,28,0,4,8,9,6,1
20241,A,골목상권,3110611,신정역 1번,384,215,169,0,63,68,75,82,96,0,17,32,39,46,81,0,46,36,36,36,15
20241,A,골목상권,3110612,신정역 5번,699,393,306,0,116,122,133,149,179,0,32,59,67,83,152,0,84,63,66,66,27
20241,A,골목상권,3110613,신정네거리역 4번,257,149,108,0,46,65,64,55,27,0,19,41,38,31,20,0,27,24,26,24,7
20241,A,골목상권,3110614,목동로데오거리,763,425,338,0,127,135,148,161,192,0,36,65,76,88,160,0,91,70,72,73,32
20241,A,골목상권,3110615,신서초등학교,1953,1142,811,7,345,490,490,416,205,7,143,306,295,242,149,0,202,184,195,174,56
20241,A,골목상권,3110616,양목초등학교,263,146,117,0,43,45,51,57,67,0,12,21,27,31,55,0,31,24,24,26,12
20241,A,골목상권,3110617,등촌역 4번,134,75,59,0,16,30,37,32,19,0,8,18,21,16,12,0,8,12,16,16,7
20241,A,골목상권,3110618,강서고등학교,375,231,144,0,38,86,114,98,39,0,12,51,68,63,37,0,26,35,46,35,2
20241,A,골목상권,3110619,목4동주민센터,208,130,78,0,25,48,62,52,21,0,11,30,36,33,20,0,14,18,26,19,1
20241,A,골목상권,3110620,목동보건지소,630,380,250,0,73,143,183,159,72,0,31,85,107,96,61,0,42,58,76,63,11
20241,A,골목상권,3110621,목동역 5번,291,190,101,0,51,79,74,59,28,0,24,52,52,43,19,0,27,27,22,16,9
20241,A,골목상권,3110622,달마을공원,545,304,241,0,74,132,147,126,66,0,35,73,81,72,43,0,39,59,66,54,23
20241,A,골목상권,3110623,갈산공원,422,257,165,0,48,98,126,100,50,0,22,56,78,64,37,0,26,42,48,36,13
20241,A,골목상권,3110624,목동문화체육센터,158,89,69,0,20,40,41,36,21,0,9,22,23,21,14,0,11,18,18,15,7
20241,A,골목상권,3110625,신정2동주민센터,10107,5807,4300,3,1830,3287,2711,1787,489,0,739,1807,1678,1192,391,3,1091,1480,1033,595,98
20241,A,골목상권,3110626,양화초등학교,731,411,320,0,101,177,195,167,91,0,47,97,109,96,62,0,54,80,86,71,29
20241,A,골목상권,3110627,신정롯데캐슬아파트,5756,3309,2447,0,1043,1875,1545,1017,276,0,422,1031,958,677,221,0,621,844,587,340,55
20241,A,골목상권,3110628,신목동역,453,253,200,0,64,110,121,103,55,0,31,59,67,59,37,0,33,51,54,44,18
20241,A,골목상권,3110629,송정역 4번,215,113,102,0,35,71,60,42,7,0,7,30,35,35,6,0,28,41,25,7,1
20241,A,골목상권,3110630,공항시장역 1번,321,234,87,0,20,63,77,93,68,0,14,42,55,63,60,0,6,21,22,30,8
20241,A,골목상권,3110631,방화초등학교,94,69,25,0,5,17,21,30,21,0,3,13,15,19,19,0,2,4,6,11,2
20241,A,골목상권,3110632,방화역 3번,555,433,122,0,53,119,140,160,83,0,40,95,111,132,55,0,13,24,29,28,28
20241,A,골목상권,3110633,개화산역 1번,102,75,27,0,9,21,24,29,19,0,6,15,18,21,15,0,3,6,6,8,4
20241,A,골목상권,3110634,송정역 3번,1273,669,604,0,213,425,350,251,34,0,50,176,205,208,30,0,163,249,145,43,4
20241,A,골목상권,3110635,공항시장역 3번,345,198,147,0,52,105,95,75,18,0,16,49,59,62,12,0,36,56,36,13,6
20241,A,골목상권,3110636,방화역 2번,311,248,63,0,29,67,78,90,47,0,23,56,63,75,31,0,6,11,15,15,16
20241,A,골목상권,3110637,송정역 2번,514,269,245,0,85,172,141,101,15,0,19,71,83,84,12,0,66,101,58,17,3
20241,A,골목상권,3110638,신방화역 2번,1329,1051,278,0,132,286,331,383,197,0,100,235,266,318,132,0,32,51,65,65,65
20241,A,골목상권,3110639,신방화역 8번,371,296,75,0,34,79,95,109,54,0,27,65,77,91,36,0,7,14,18,18,18
20241,A,골목상권,3110640,방화역 1번,1520,983,537,0,149,326,386,418,241,0,75,173,238,292,205,0,74,153,148,126,36
20241,A,골목상권,3110641,공항고등학교,421,336,85,0,43,89,104,123,62,0,33,74,84,103,42,0,10,15,20,20,20
