기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,A,골목상권,3110037,신설동역 12번,410,293,117,0,40,111,91,93,75,0,18,84,69,71,51,0,22,27,22,22,24
20241,A,골목상권,3110038,경향신문사,4022,2135,1887,22,1164,1270,884,532,150,6,378,632,631,388,100,16,786,638,253,144,50
20241,A,골목상권,3110039,회현역 1번,629,389,240,0,118,222,173,91,25,0,55,132,113,72,17,0,63,90,60,19,8
20241,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),1162,718,444,0,219,411,320,169,43,0,101,245,208,134,30,0,118,166,112,35,13
20241,A,골목상권,3110041,남산케이블카,1045,608,437,0,171,354,284,185,51,0,68,183,184,138,35,0,103,171,100,47,16
20241,A,골목상권,3110042,남산골공원옆,2278,1072,1206,0,326,580,703,499,170,0,111,287,331,233,110,0,215,293,372,266,60
20241,A,골목상권,3110043,충무초등학교,1714,864,850,1,328,454,483,350,98,0,115,241,258,185,65,1,213,213,225,165,33
20241,A,골목상권,3110044,관성묘,625,330,295,1,143,171,163,121,26,0,51,96,96,70,17,1,92,75,67,51,9
20241,A,골목상권,3110045,동대문역사문화공원역 5번,1301,668,633,5,336,350,303,229,78,2,143,198,177,109,39,3,193,152,126,120,39
20241,A,골목상권,3110046,버티고개,109,71,38,0,19,38,28,18,6,0,8,27,20,11,5,0,11,11,8,7,1
20241,A,골목상권,3110047,다산성곽길,367,235,132,0,65,119,91,62,30,0,27,82,64,39,23,0,38,37,27,23,7
20241,A,골목상권,3110048,장충동주민센터,1193,651,542,1,266,339,304,223,60,0,97,200,187,127,40,1,169,139,117,96,20
20241,A,골목상권,3110049,장충단 고개,2333,1479,854,0,412,749,565,408,199,0,168,515,398,250,148,0,244,234,167,158,51
20241,A,골목상권,3110050,약수역 7번,2475,956,1519,5,398,926,685,339,122,0,122,326,227,194,87,5,276,600,458,145,35
20241,A,골목상권,3110051,한양공고앞 교차로,22,13,9,0,8,5,4,3,2,0,3,3,2,3,2,0,5,2,2,0,0
20241,A,골목상권,3110052,장충초등학교,796,506,290,0,142,258,196,137,63,0,59,178,137,84,48,0,83,80,59,53,15
20241,A,골목상권,3110053,청구역 1번,77,39,38,0,34,14,14,11,4,0,13,7,7,8,4,0,21,7,7,3,0
20241,A,골목상권,3110054,청구역 3번,11732,6410,5322,0,1703,3095,2770,2524,1640,0,574,1603,1734,1541,958,0,1129,1492,1036,983,682
20241,A,골목상권,3110055,황학동벼룩시장,84,62,22,0,11,25,24,15,9,0,9,16,15,13,9,0,2,9,9,2,0
20241,A,골목상권,3110056,신당역 3번,408,204,204,0,33,99,113,102,61,0,8,36,56,55,49,0,25,63,57,47,12
20241,A,골목상권,3110057,황학코아루아파트,117,86,31,0,15,35,33,22,12,0,11,23,22,18,12,0,4,12,11,4,0
20241,A,골목상권,3110058,성심여자고등학교,1485,1087,398,0,235,457,416,240,137,0,136,329,322,183,117,0,99,128,94,57,20
20241,A,골목상권,3110059,새남터성지,1693,1143,550,0,245,462,500,367,119,0,113,288,375,281,86,0,132,174,125,86,33
20241,A,골목상권,3110060,효창공원앞역 6번,1225,714,511,0,239,332,339,230,85,0,100,196,203,155,60,0,139,136,136,75,25
20241,A,골목상권,3110061,효창동주민센터,475,276,199,0,72,125,132,100,46,0,35,73,79,53,36,0,37,52,53,47,10
20241,A,골목상권,3110062,한강로동땡땡거리(은행나무길),2317,1142,1175,0,474,728,663,339,113,0,192,340,330,206,74,0,282,388,333,133,39
20241,A,골목상권,3110063,효창공원앞역 5번,1161,734,427,0,202,317,317,216,109,0,99,206,204,148,77,0,103,111,113,68,32
20241,A,골목상권,3110064,효창공원앞역 2번,743,424,319,0,101,190,202,163,87,0,49,109,119,83,64,0,52,81,83,80,23
20241,A,골목상권,3110065,남정초등학교,179,122,57,0,28,49,47,33,22,0,16,35,33,22,16,0,12,14,14,11,6
20241,A,골목상권,3110066,서울역 15번,1037,562,475,0,158,268,252,223,136,0,52,123,134,140,113,0,106,145,118,83,23
20241,A,골목상권,3110067,배문고등학교,487,263,224,0,73,127,119,105,63,0,23,58,63,66,53,0,50,69,56,39,10
20241,A,골목상권,3110068,남영역 1번,767,513,254,0,116,212,202,144,93,0,65,144,137,100,67,0,51,68,65,44,26
20241,A,골목상권,3110069,숙대입구,1130,609,521,0,169,291,272,246,152,0,54,134,148,152,121,0,115,157,124,94,31
20241,A,골목상권,3110070,용산세무서,207,101,106,0,43,65,59,30,10,0,18,30,29,18,6,0,25,35,30,12,4
20241,A,골목상권,3110071,한강미주맨션아파트,1700,1090,610,5,275,458,477,348,137,4,136,282,337,235,96,1,139,176,140,113,41
20241,A,골목상권,3110072,열정도,236,159,77,0,36,64,63,44,29,0,21,45,44,30,19,0,15,19,19,14,10
20241,A,골목상권,3110073,삼각지역 3번,1907,942,965,4,389,597,545,280,92,2,158,279,271,171,61,2,231,318,274,109,31
20241,A,골목상권,3110074,서울역 12번,4774,2012,2762,34,1818,1181,913,612,216,1,341,633,542,330,165,33,1477,548,371,282,51
20241,A,골목상권,3110075,숙대입구역 1번,1728,736,992,11,654,427,335,226,75,0,127,230,199,122,58,11,527,197,136,104,17
20241,A,골목상권,3110076,삼각지역 14번,181,90,91,0,37,57,52,26,9,0,15,27,26,16,6,0,22,30,26,10,3
20241,A,골목상권,3110077,삼광초등학교,175,104,71,0,25,40,50,42,18,0,8,24,33,25,14,0,17,16,17,17,4
