기준_년분기_코드,계절,상권_구분_코드_명,상권_코드_명,매출_금액,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,출근_매출_금액,점심_매출_금액,퇴근_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,출근_유동인구_수,점심_유동인구_수,퇴근_유동인구_수,주중_유동인구_수,주말_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20243,가을,골목상권,이수역 9번,2422450966.0,1929872142.0,492578824.0,1417899076.0,780164314.0,110241299.0,1045009858.0,1267199809.0,687436,314419,373015,332297,158790,196350,499420,188016,215,116,99
20243,가을,골목상권,응암역 3번,5339801878.0,3843141918.0,1496659960.0,3186628454.0,2001642629.0,999683764.0,1617863466.0,2722254648.0,2607839,1155090,1452750,1257350,557718,792774,1812427,795412,1036,497,539
20243,가을,골목상권,경찰병원역 4번(건너말공원),541060476.0,423571204.0,117489272.0,299099561.0,129488873.0,43424597.0,266623238.0,231012641.0,300830,146730,154099,131659,81227,87944,221613,79218,1327,800,527
20243,가을,골목상권,경찰병원역 3번,986647178.0,716120382.0,270526796.0,488211860.0,438279269.0,137174778.0,388489683.0,460982717.0,941595,437593,504003,454340,218725,268531,678453,263141,299,203,96
20243,가을,발달상권,경찰병원역,27188989834.0,21417699387.0,5771290447.0,14651864066.0,9517666647.0,4905752439.0,11189622211.0,11093615184.0,2514697,1224310,1290387,1197421,599841,717434,1805766,708931,10735,6593,4142
20243,가을,발달상권,여의도역(여의도),194981773614.0,168608288904.0,26373484710.0,74711356293.0,59808456605.0,21426609120.0,92907548613.0,80647615881.0,1690497,912503,777994,529516,740831,420150,1405337,285158,124394,88269,36125
20243,가을,골목상권,언주중학교,112269269.0,98860707.0,13408562.0,31508577.0,79947640.0,0.0,46406824.0,65862445.0,386246,190858,195390,188767,95786,101692,283829,102415,380,220,160
20243,가을,골목상권,언북중학교,1992321416.0,1759421562.0,232899854.0,606050783.0,642783482.0,178341106.0,975882782.0,838097528.0,937850,473381,464469,369429,328129,240293,744992,192858,2231,1430,801
20243,가을,골목상권,언남고등학교,306527924.0,297239265.0,9288659.0,122158889.0,157295203.0,20226432.0,232426889.0,53874603.0,143996,72564,71434,66002,40013,37979,110059,33937,740,555,185
20243,가을,골목상권,어린이대공원역 4번,804139354.0,534228531.0,269910823.0,412511277.0,308306301.0,177724567.0,90229457.0,536185330.0,370386,169323,201062,189540,74505,106342,260914,109473,28,20,8
20243,가을,골목상권,어린이대공원역 3번,1315165232.0,1100975249.0,214189983.0,571711016.0,325869389.0,59857478.0,696891908.0,558415846.0,721218,343106,378111,346588,167996,206636,515973,205244,17,13,4
20243,가을,골목상권,언주역 8번,153442069.0,135111649.0,18330420.0,44890432.0,108551637.0,54230639.0,87937028.0,11274402.0,456115,231644,224472,190435,150827,114855,345930,110186,830,489,341
20243,가을,골목상권,베르사이유1아파트,634799550.0,622475905.0,12323645.0,276263591.0,224095633.0,52923676.0,292623255.0,289252619.0,802805,406988,395817,341388,266558,194860,635789,167016,1874,1111,763
20243,가을,관광특구,이태원 관광특구,88800327802.0,49714506310.0,39085821492.0,43799536570.0,38685438617.0,17728263437.0,31653524296.0,39418540069.0,2111370,1084391,1026980,839682,590706,680985,1421787,689582,28395,15935,12460
20243,가을,골목상권,대림역 11번,29492139.0,16074066.0,13418073.0,20315338.0,9176801.0,3335776.0,15809743.0,10346620.0,363172,181104,182068,150601,92722,119849,251003,112169,190,97,93
20243,가을,발달상권,대림역,29478753908.0,21459008259.0,8019745649.0,16155936613.0,11767722320.0,6609725336.0,11834398954.0,11034629618.0,1894316,926034,968283,677479,541158,675679,1344112,550204,1789,1036,753
20243,가을,전통시장,묵1동도깨비시장,2546157207.0,1743619524.0,802537683.0,1452783547.0,806879723.0,167186917.0,614533317.0,1764436973.0,89904,41697,48206,32387,26699,30817,59626,30278,91,43,48
20243,가을,전통시장,무학봉상점가,4399815259.0,3433825620.0,965989639.0,2033491979.0,2158012219.0,568207975.0,1871814759.0,1959792525.0,1006854,453681,553173,499639,211941,295273,705221,301632,461,284,177
20243,가을,골목상권,무너미어린이공원,592779008.0,534255590.0,58523418.0,266189108.0,324227869.0,14177438.0,193916573.0,384684997.0,699114,311814,387300,344836,148897,205384,489669,209445,184,115,69
